Accession,comb
SRR25455364,Dele_F_5_H_1
SRR25455365,Dele_F_5_H_2
SRR25455366,Dele_F_5_H_3
SRR25455367,Dele_F_5_H_4
SRR25455369,Dele_F_5_H_5
SRR25455315,Dele_F_P12_W_1
SRR25455316,Dele_F_P12_W_2
SRR25455317,Dele_F_P12_W_3
SRR25455318,Dele_F_P12_W_4
SRR25455319,Dele_F_P12_W_5
SRR25455304,Dele_F_P15_W_1
SRR25455305,Dele_F_P15_W_2
SRR25455306,Dele_F_P15_W_3
SRR25455307,Dele_F_P15_W_4
SRR25455308,Dele_F_P15_W_5
SRR25455348,Dele_F_0_H_1
SRR25455349,Dele_F_0_H_2
SRR25455350,Dele_F_0_H_3
SRR25455351,Dele_F_0_H_4
SRR25455352,Dele_F_0_H_5
SRR25455359,Dele_M_5_H_1
SRR25455360,Dele_M_5_H_2
SRR25455361,Dele_M_5_H_3
SRR25455362,Dele_M_5_H_4
SRR25455363,Dele_M_5_H_5
SRR25455320,Dele_M_P12_W_1
SRR25455321,Dele_M_P12_W_2
SRR25455322,Dele_M_P12_W_3
SRR25455323,Dele_M_P12_W_4
SRR25455325,Dele_M_P12_W_5
SRR25455309,Dele_M_P15_W_1
SRR25455310,Dele_M_P15_W_2
SRR25455311,Dele_M_P15_W_3
SRR25455312,Dele_M_P15_W_4
SRR25455314,Dele_M_P15_W_5
SRR25455353,Dele_M_0_H_1
SRR25455354,Dele_M_0_H_2
SRR25455355,Dele_M_0_H_3
SRR25455356,Dele_M_0_H_4
SRR25455358,Dele_M_0_H_5
SRR25455303,Dgun_F_5_H_1
SRR25455313,Dgun_F_5_H_2
SRR25455324,Dgun_F_5_H_3
SRR25455335,Dgun_F_5_H_4
SRR25455346,Dgun_F_5_H_5
SRR25455337,Dgun_F_P12_W_1
SRR25455338,Dgun_F_P12_W_2
SRR25455339,Dgun_F_P12_W_3
SRR25455340,Dgun_F_P12_W_4
SRR25455341,Dgun_F_P12_W_5
SRR25455326,Dgun_F_P15_W_1
SRR25455327,Dgun_F_P15_W_2
SRR25455328,Dgun_F_P15_W_3
SRR25455329,Dgun_F_P15_W_4
SRR25455330,Dgun_F_P15_W_5
SRR25455370,Dgun_F_0_H_1
SRR25455371,Dgun_F_0_H_2
SRR25455372,Dgun_F_0_H_3
SRR25455373,Dgun_F_0_H_4
SRR25455374,Dgun_F_0_H_5
SRR25455357,Dgun_M_5_H_1
SRR25455368,Dgun_M_5_H_2
SRR25455379,Dgun_M_5_H_3
SRR25455380,Dgun_M_5_H_4
SRR25455342,Dgun_M_P12_W_1
SRR25455343,Dgun_M_P12_W_2
SRR25455344,Dgun_M_P12_W_3
SRR25455345,Dgun_M_P12_W_4
SRR25455347,Dgun_M_P12_W_5
SRR25455331,Dgun_M_P15_W_1
SRR25455332,Dgun_M_P15_W_2
SRR25455333,Dgun_M_P15_W_3
SRR25455334,Dgun_M_P15_W_4
SRR25455336,Dgun_M_P15_W_5
SRR25455302,Dgun_M_0_H_1
SRR25455375,Dgun_M_0_H_2
SRR25455376,Dgun_M_0_H_3
SRR25455377,Dgun_M_0_H_4
SRR25455378,Dgun_M_0_H_5
